,Player,cluster_name
306,Brock McGinn,Big Hitters And PK (No FO)
307,Nick Bjugstad,Lower-Line Skill Players
309,Ryan Hartman,Goal-Focused Lower-Line Players
310,Nick Leddy,Every Situation Defensemen
311,Mike Green,Even Strength two-way defensemen
312,Tyson Jost,Lower-Line Skill Players
314,Zack Kassian,Big Hitters And PK (No FO)
315,Matt Calvert,Big Hitters And PK (No FO)
316,Neal Pionk,Every Situation Defensemen
317,Ivan Provorov,Every Situation Defensemen
318,Cody Ceci,PK Specialist And Shot-Blocking Defensemen
319,Michal Kempny,Even Strength two-way defensemen
320,Andrew Copp,Big Hitters And PK (No FO)
321,Marcus Pettersson,Strong Defensive Defensemen
322,Erik Johnson,PK Specialist And Shot-Blocking Defensemen
323,Lawson Crouse,Big Hitters And PK (No FO)
325,Jordan Martinook,Big Hitters And PK (No FO)
326,Alexander Wennberg,"Two-Way, FO-Taking Forwards"
327,Matt Niskanen,PK Specialist And Shot-Blocking Defensemen
328,Mattias Janmark,Big Hitters And PK (No FO)
329,Brady Skjei,Strong Defensive Defensemen
330,Jake Virtanen,Goal-Focused Lower-Line Players
331,Marc-Edouard Vlasic,PK Specialist And Shot-Blocking Defensemen
332,Pavel Zacha,Every Situation Forwards
333,Andy Greene,PK Specialist And Shot-Blocking Defensemen
334,Nick Schmaltz,Lower-Line Skill Players
335,Pontus Aberg,Lower-Line Skill Players
336,Ryan Donato,Lower-Line Skill Players
337,Casey Mittelstadt,Every Situation Forwards
338,David Savard,PK Specialist And Shot-Blocking Defensemen
339,Josh Leivo,Goal-Focused Lower-Line Players
341,Kenny Agostino,Lower-Line Skill Players
342,Miles Wood,Goal-Focused Lower-Line Players
343,Jordan Greenway,Goal-Focused Lower-Line Players
344,Brian Boyle,Every Situation Forwards
345,Brian Dumoulin,Even Strength two-way defensemen
346,Ron Hainsey,Strong Defensive Defensemen
347,Troy Stecher,Even Strength two-way defensemen
348,Cal Clutterbuck,Big Hitters And PK (No FO)
349,Adam Lowry,Big Hitters And PK (Take FO)
350,Braydon Coburn,Even Strength two-way defensemen
351,Luke Glendening,Big Hitters And PK (Take FO)
352,Matthew Nieto,Big Hitters And PK (No FO)
353,Joel Armia,Goal-Focused Lower-Line Players
354,Drake Caggiula,Goal-Focused Lower-Line Players
355,Kyle Turris,Lower-Line Skill Players
356,Filip Hronek,Lower-Line PP Defensemen/Defensemen-Like Forwards
357,Cam Fowler,Every Situation Defensemen
358,Brendan Leipsic,Lower-Line Skill Players
359,Brett Howden,Every Situation Forwards
360,Daniel Sprong,Goal-Focused Lower-Line Players
361,Derick Brassard,Every Situation Forwards
362,Filip Chytil,Goal-Focused Lower-Line Players
363,Brenden Dillon,Even Strength two-way defensemen
364,Jordie Benn,PK Specialist And Shot-Blocking Defensemen
366,Jason Dickinson,Big Hitters And PK (No FO)
367,Josh Archibald,Big Hitters And PK (No FO)
368,Dylan DeMelo,PK Specialist And Shot-Blocking Defensemen
369,Markus Granlund,Every Situation Forwards
370,Mathew Dumba,Lower-Line PP Defensemen/Defensemen-Like Forwards
371,Roope Hintz,Lower-Line Skill Players
372,Adam Pelech,PK Specialist And Shot-Blocking Defensemen
373,Sean Kuraly,Big Hitters And PK (No FO)
375,Markus Nutivaara,Even Strength two-way defensemen
377,Troy Brouwer,Big Hitters And PK (No FO)
378,Jordan Weal,Lower-Line Skill Players
381,Zach Sanford,Physical Defensive Lower-Line Forwards
383,Ben Chiarot,PK Specialist And Shot-Blocking Defensemen
385,Radko Gudas,PK Specialist And Shot-Blocking Defensemen
386,Nick Jensen,PK Specialist And Shot-Blocking Defensemen
387,Oscar Lindberg,Lower-Line Skill Players
388,Danny DeKeyser,PK Specialist And Shot-Blocking Defensemen
390,David Backes,Lower-Line Skill Players
391,Ondrej Kase,Volume Shooters
392,Carter Rowney,Big Hitters And PK (No FO)
393,Jesper Fast,Big Hitters And PK (No FO)
394,Robert Hagg,PK Specialist And Shot-Blocking Defensemen
395,Jordan Oesterle,Every Situation Defensemen
396,Milan Lucic,Lower-Line Skill Players
397,Jakob Chychrun,Lower-Line PP Defensemen/Defensemen-Like Forwards
398,Ben Hutton,Every Situation Defensemen
399,Adam Larsson,PK Specialist And Shot-Blocking Defensemen
400,Travis Hamonic,PK Specialist And Shot-Blocking Defensemen
401,Scott Mayfield,PK Specialist And Shot-Blocking Defensemen
402,Rasmus Andersson,Even Strength two-way defensemen
404,Johnny Boychuk,PK Specialist And Shot-Blocking Defensemen
405,Carl Hagelin,Big Hitters And PK (No FO)
406,Chris Wagner,Big Hitters And PK (No FO)
407,Marcus Foligno,Big Hitters And PK (No FO)
408,Zach Bogosian,PK Specialist And Shot-Blocking Defensemen
410,James Neal,Lower-Line Skill Players
411,David Kampf,Big Hitters And PK (Take FO)
412,Riley Sheahan,Big Hitters And PK (Take FO)
413,Justin Abdelkader,Big Hitters And PK (No FO)
414,Magnus Paajarvi,Big Hitters And PK (No FO)
415,Matt Grzelcyk,Every Situation Defensemen
416,Brandon Pirri,Volume Shooters
417,Devon Toews,Lower-Line PP Defensemen/Defensemen-Like Forwards
418,Conor Garland,Volume Shooters
421,Alec Martinez,PK Specialist And Shot-Blocking Defensemen
422,Ryan Carpenter,Big Hitters And PK (No FO)
424,Blake Comeau,Big Hitters And PK (No FO)
425,Michael Rasmussen,Lower-Line Skill Players
426,Zemgus Girgensons,Big Hitters And PK (No FO)
427,Jujhar Khaira,Big Hitters And PK (No FO)
428,Christian Fischer,Goal-Focused Lower-Line Players
429,Henrik Borgström,Every Situation Forwards
430,Jonas Brodin,PK Specialist And Shot-Blocking Defensemen
431,Zach Aston-Reese,Physical Defensive Lower-Line Forwards
432,Brett Kulak,Even Strength two-way defensemen
433,Anton Stralman,PK Specialist And Shot-Blocking Defensemen
434,Matt Benning,Even Strength two-way defensemen
437,Cedric Paquette,Big Hitters And PK (Take FO)
438,Scott Harrington,PK Specialist And Shot-Blocking Defensemen
441,Andrew Cogliano,Big Hitters And PK (No FO)
442,Jay Bouwmeester,PK Specialist And Shot-Blocking Defensemen
443,Travis Dermott,Even Strength two-way defensemen
444,Luke Kunin,Physical Defensive Lower-Line Forwards
445,Tomas Nosek,Big Hitters And PK (No FO)
446,Darren Helm,Big Hitters And PK (No FO)
447,Sami Vatanen,Every Situation Defensemen
448,Erik Cernak,PK Specialist And Shot-Blocking Defensemen
449,Brayden McNabb,PK Specialist And Shot-Blocking Defensemen
450,Austin Watson,Physical Defensive Lower-Line Forwards
451,Dan Girardi,PK Specialist And Shot-Blocking Defensemen
452,Kris Russell,PK Specialist And Shot-Blocking Defensemen
453,Alex Biega,Even Strength Lower-Line Defensive Players
455,Michael Grabner,Physical Defensive Lower-Line Forwards
456,Josh Manson,PK Specialist And Shot-Blocking Defensemen
457,Denis Malgin,Physical Defensive Lower-Line Forwards
458,Tyler Motte,Big Hitters And PK (No FO)
459,Justin Braun,PK Specialist And Shot-Blocking Defensemen
460,Dennis Cholowski,Lower-Line PP Defensemen/Defensemen-Like Forwards
461,Jonathon Merrill,Even Strength two-way defensemen
462,Nick Holden,Even Strength two-way defensemen
463,Pierre-Edouard Bellemare,"Two-Way, FO-Taking Forwards"
464,Justin Schultz,Lower-Line PP Defensemen/Defensemen-Like Forwards
465,Ian Cole,PK Specialist And Shot-Blocking Defensemen
466,Colton Sceviour,Big Hitters And PK (No FO)
467,MacKenzie Weegar,Strong Defensive Defensemen
469,Warren Foegele,Big Hitters And PK (No FO)
470,Maxime Lajoie,Every Situation Defensemen
471,Zdeno Chara,Every Situation Defensemen
472,Nikita Zadorov,PK Specialist And Shot-Blocking Defensemen
473,Olli Maatta,PK Specialist And Shot-Blocking Defensemen
476,Nikita Zaitsev,PK Specialist And Shot-Blocking Defensemen
477,Calvin de Haan,Even Strength two-way defensemen
478,Noel Acciari,Big Hitters And PK (No FO)
479,Jake McCabe,PK Specialist And Shot-Blocking Defensemen
480,Trevor van Riemsdyk,Even Strength two-way defensemen
482,Rudolfs Balcers,Lower-Line PP Defensemen/Defensemen-Like Forwards
483,Joel Eriksson Ek,Physical Defensive Lower-Line Forwards
484,Johan Larsson,Big Hitters And PK (Take FO)
485,Sven Baertschi,Lower-Line PP Defensemen/Defensemen-Like Forwards
486,Derek Forbort,PK Specialist And Shot-Blocking Defensemen
487,Brandon Dubinsky,Big Hitters And PK (Take FO)
488,Victor Mete,Even Strength two-way defensemen
489,Connor Murphy,PK Specialist And Shot-Blocking Defensemen
491,Tim Heed,Lower-Line PP Defensemen/Defensemen-Like Forwards
492,Troy Terry,Lower-Line PP Defensemen/Defensemen-Like Forwards
494,John Moore,PK Specialist And Shot-Blocking Defensemen
496,Nate Thompson,Big Hitters And PK (Take FO)
498,Jack Johnson,PK Specialist And Shot-Blocking Defensemen
499,Sam Gagner,Volume Shooters
500,Brendan Smith,PK Specialist And Shot-Blocking Defensemen
501,Drew Stafford,Physical Defensive Lower-Line Forwards
502,Jay Beagle,Big Hitters And PK (Take FO)
503,Marc Staal,PK Specialist And Shot-Blocking Defensemen
504,Marco Scandella,PK Specialist And Shot-Blocking Defensemen
506,Vladimir Sobotka,Big Hitters And PK (Take FO)
507,Nathan Beaulieu,Even Strength Lower-Line Defensive Players
508,Jamie Oleksiak,Even Strength Lower-Line Defensive Players
509,Chris Tanev,PK Specialist And Shot-Blocking Defensemen
510,Christian Wolanin,Lower-Line PP Defensemen/Defensemen-Like Forwards
512,Joakim Nordstrom,Big Hitters And PK (No FO)
513,Derrick Pouliot,Even Strength two-way defensemen
514,Brad Hunt,Lower-Line PP Defensemen/Defensemen-Like Forwards
516,Tyler Pitlick,Physical Defensive Lower-Line Forwards
517,Deryk Engelland,PK Specialist And Shot-Blocking Defensemen
518,Henri Jokiharju,Even Strength Lower-Line Defensive Players
522,Trevor Lewis,Physical Defensive Lower-Line Forwards
523,Jean-Gabriel Pageau,Physical Defensive Lower-Line Forwards
524,Tage Thompson,Goal-Focused Lower-Line Players
525,Joel Edmundson,PK Specialist And Shot-Blocking Defensemen
527,Andrew Ladd,Physical Defensive Lower-Line Forwards
528,Taylor Fedun,Even Strength two-way defensemen
530,Mike Reilly,Even Strength two-way defensemen
531,Mark Pysyk,PK Specialist And Shot-Blocking Defensemen
535,Mirco Mueller,Even Strength Lower-Line Defensive Players
536,Tobias Rieder,PK Specialist And Shot-Blocking Defensemen
538,Connor Carrick,Even Strength Lower-Line Defensive Players
539,Chandler Stephenson,Big Hitters And PK (No FO)
540,Brandon Carlo,Strong Defensive Defensemen
542,Robert Bortuzzo,PK Specialist And Shot-Blocking Defensemen
543,Christian Djoos,Even Strength Lower-Line Defensive Players
544,Niklas Hjalmarsson,PK Specialist And Shot-Blocking Defensemen
546,Patrik Nemeth,Strong Defensive Defensemen
548,Madison Bowey,Even Strength Lower-Line Defensive Players
549,Michael Del Zotto,Even Strength Lower-Line Defensive Players
553,Kevin Rooney,Big Hitters And PK (Take FO)
555,Sean Walker,Even Strength Lower-Line Defensive Players
556,Christian Jaros,PK Specialist And Shot-Blocking Defensemen
558,Corey Perry,Lower-Line PP Defensemen/Defensemen-Like Forwards
559,Erik Gudbranson,PK Specialist And Shot-Blocking Defensemen
560,Brooks Orpik,PK Specialist And Shot-Blocking Defensemen
561,Radim Simek,Even Strength Lower-Line Defensive Players
562,Roman Polak,PK Specialist And Shot-Blocking Defensemen
565,Tom Kuhnhackl,Physical Defensive Lower-Line Forwards
566,Ben Lovejoy,PK Specialist And Shot-Blocking Defensemen
569,Victor Rask,Lower-Line Skill Players
571,Andrew MacDonald,Even Strength Lower-Line Defensive Players
572,Gustav Forsling,Even Strength Lower-Line Defensive Players
576,Jesse Puljujarvi,Physical Defensive Lower-Line Forwards
577,Jason Demers,Even Strength Lower-Line Defensive Players
579,Jan Rutta,Even Strength Lower-Line Defensive Players
581,Oliver Kylington,Even Strength Lower-Line Defensive Players
588,Kevin Connauton,PK Specialist And Shot-Blocking Defensemen
589,Trevor Daley,PK Specialist And Shot-Blocking Defensemen
590,Bogdan Kiselevich,Even Strength Lower-Line Defensive Players
591,Colby Cave,Physical Defensive Lower-Line Forwards
594,Ryan Kesler,Big Hitters And PK (Take FO)
595,Stefan Noesen,Physical Defensive Lower-Line Forwards
596,Carl Gunnarsson,Even Strength Lower-Line Defensive Players
597,Kevan Miller,Even Strength Lower-Line Defensive Players
601,Michael Dal Colle,Physical Defensive Lower-Line Forwards
602,Adam McQuaid,PK Specialist And Shot-Blocking Defensemen
605,Joseph Morrow,Even Strength Lower-Line Defensive Players
606,Igor Ozhiganov,Even Strength two-way defensemen
607,Joakim Ryan,Even Strength Lower-Line Defensive Players
610,Nick Seeler,PK Specialist And Shot-Blocking Defensemen
613,Egor Yakovlev,Even Strength Lower-Line Defensive Players
614,Joey Anderson,Physical Defensive Lower-Line Forwards
615,Greg Pateryn,PK Specialist And Shot-Blocking Defensemen
616,Chris Wideman,Lower-Line PP Defensemen/Defensemen-Like Forwards
617,Carl Dahlstrom,Even Strength Lower-Line Defensive Players
618,Christian Folin,Even Strength Lower-Line Defensive Players
619,Slater Koekkoek,Even Strength Lower-Line Defensive Players
620,Dmitry Kulikov,Even Strength Lower-Line Defensive Players
622,Fredrik Claesson,Even Strength Lower-Line Defensive Players
623,Casey Nelson,Even Strength Lower-Line Defensive Players
625,Matt Roy,Even Strength Lower-Line Defensive Players
627,Robby Fabbri,Physical Defensive Lower-Line Forwards
631,Steven Kampfer,Lower-Line PP Defensemen/Defensemen-Like Forwards
635,Lawrence Pilut,Even Strength Lower-Line Defensive Players
638,Brandon Sutter,Big Hitters And PK (Take FO)
640,Dion Phaneuf,PK Specialist And Shot-Blocking Defensemen
641,Dean Kukan,Even Strength Lower-Line Defensive Players
645,Juuso Riikola,Lower-Line PP Defensemen/Defensemen-Like Forwards
649,Paul Ladue,Even Strength Lower-Line Defensive Players
654,Max Jones,Physical Defensive Lower-Line Forwards
655,Dan Hamhuis,PK Specialist And Shot-Blocking Defensemen
658,Jacob Larsson,Even Strength Lower-Line Defensive Players
659,Martin Marincin,Even Strength Lower-Line Defensive Players
663,Jonathan Ericsson,PK Specialist And Shot-Blocking Defensemen
664,Mark Borowiecki,PK Specialist And Shot-Blocking Defensemen
667,Ben Harpur,PK Specialist And Shot-Blocking Defensemen
668,Jonas Siegenthaler,Even Strength Lower-Line Defensive Players
669,Thomas Hickey,Even Strength Lower-Line Defensive Players
672,Oscar Fantenberg,Even Strength Lower-Line Defensive Players
674,Andrej Sekera,Even Strength Lower-Line Defensive Players
678,Sami Niku,Even Strength Lower-Line Defensive Players
680,Jaycob Megna,Even Strength Lower-Line Defensive Players
681,Julius Honka,Even Strength Lower-Line Defensive Players
686,Patrik Berglund,Physical Defensive Lower-Line Forwards
690,Andy Welinski,Even Strength Lower-Line Defensive Players
691,Steven Santini,Even Strength Lower-Line Defensive Players
692,Ilya Lyubushkin,Even Strength Lower-Line Defensive Players
693,Brandon Manning,Physical Defensive Lower-Line Forwards
703,Kevin Gravel,Even Strength Lower-Line Defensive Players
705,Juuso Valimaki,Even Strength Lower-Line Defensive Players
733,Josh Brown,Even Strength Lower-Line Defensive Players
743,Luke Schenn,Even Strength Lower-Line Defensive Players
744,Alexander Petrovic,Even Strength Lower-Line Defensive Players
